symbol,side,price,amount,total,cum_sum
BTC-USDT,buy_1,33990.0,0.74,25152.6,25152.6
BTC-USDT,sell_1,34050.0,0.96,32688.0,32688.0
BTC-USDT,buy_2,33965.0,0.33,11208.45,36361.05
BTC-USDT,sell_2,34020.0,0.47,15989.4,48677.4
BTC-USDT,buy_3,33965.0,0.15,5094.75,41455.8
BTC-USDT,sell_3,34010.0,0.66,22446.600000000002,71124.0
BTC-USDT,buy_4,33965.0,0.87,29549.55,71005.35
BTC-USDT,sell_4,34035.0,0.36,12252.6,83376.6
BTC-USDT,buy_5,33960.0,0.4,13584.0,84589.35
BTC-USDT,sell_5,34020.0,0.15,5103.0,88479.6
BTC-USDT,buy_6,33955.0,0.35,11884.25,96473.6
BTC-USDT,sell_6,34025.0,0.66,22456.5,110936.1
BTC-USDT,buy_7,33955.0,0.64,21731.2,118204.8
BTC-USDT,sell_7,34045.0,0.41,13958.449999999999,124894.55
BTC-USDT,buy_8,33950.0,0.91,30894.5,149099.3
BTC-USDT,sell_8,34035.0,0.81,27568.350000000002,152462.9
BTC-USDT,buy_9,33975.0,0.76,25821.0,174920.3
BTC-USDT,sell_9,34025.0,0.38,12929.5,165392.4
BTC-USDT,buy_10,33965.0,0.42,14265.3,189185.59999999998
BTC-USDT,sell_10,34050.0,0.77,26218.5,191610.9
BTC-USDT,buy_11,33950.0,0.9,30555.0,219740.59999999998
BTC-USDT,sell_11,34020.0,0.57,19391.399999999998,211002.3
BTC-USDT,buy_12,33975.0,0.42,14269.5,234010.09999999998
BTC-USDT,sell_12,34050.0,0.72,24516.0,235518.3
BTC-USDT,buy_13,33985.0,0.23,7816.55,241826.64999999997
BTC-USDT,sell_13,34010.0,0.84,28568.399999999998,264086.7
BTC-USDT,buy_14,33950.0,0.47,15956.5,257783.14999999997
BTC-USDT,sell_14,34045.0,0.87,29619.15,293705.85000000003
BTC-USDT,buy_15,33950.0,0.23,7808.5,265591.64999999997
BTC-USDT,sell_15,34030.0,0.71,24161.3,317867.15
BTC-USDT,buy_16,33960.0,0.98,33280.8,298872.44999999995
BTC-USDT,sell_16,34010.0,0.74,25167.4,343034.55000000005
BTC-USDT,buy_17,33970.0,0.34,11549.800000000001,310422.24999999994
BTC-USDT,sell_17,34040.0,0.99,33699.6,376734.15
BTC-USDT,buy_18,33955.0,0.69,23428.949999999997,333851.19999999995
BTC-USDT,sell_18,34015.0,0.33,11224.95,387959.10000000003
BTC-USDT,buy_19,33950.0,0.85,28857.5,362708.69999999995
BTC-USDT,sell_19,34020.0,0.6,20412.0,408371.10000000003
BTC-USDT,buy_20,33965.0,0.43,14604.949999999999,377313.64999999997
BTC-USDT,sell_20,34050.0,0.36,12258.0,420629.10000000003
BTC-USDT,buy_21,33970.0,0.39,13248.300000000001,390561.94999999995
BTC-USDT,sell_21,34040.0,0.19,6467.6,427096.7
BTC-USDT,buy_22,33975.0,0.61,20724.75,411286.69999999995
BTC-USDT,sell_22,34045.0,0.3,10213.5,437310.2
BTC-USDT,buy_23,33950.0,0.98,33271.0,444557.69999999995
BTC-USDT,sell_23,34025.0,0.98,33344.5,470654.7
BTC-USDT,buy_24,33990.0,0.72,24472.8,469030.49999999994
BTC-USDT,sell_24,34025.0,0.45,15311.25,485965.95
BTC-USDT,buy_25,33960.0,0.25,8490.0,477520.49999999994
BTC-USDT,sell_25,34045.0,0.16,5447.2,491413.15
BTC-USDT,buy_26,33950.0,0.43,14598.5,492118.99999999994
BTC-USDT,sell_26,34045.0,0.16,5447.2,496860.35000000003
BTC-USDT,buy_27,33955.0,0.49,16637.95,508756.94999999995
BTC-USDT,sell_27,34030.0,0.96,32668.8,529529.15
BTC-USDT,buy_28,33960.0,0.64,21734.4,530491.35
BTC-USDT,sell_28,34030.0,0.25,8507.5,538036.65
BTC-USDT,buy_29,33980.0,0.18,6116.4,536607.75
BTC-USDT,sell_29,34045.0,0.9,30640.5,568677.15
BTC-USDT,buy_30,33975.0,0.12,4077.0,540684.75
BTC-USDT,sell_30,34050.0,0.81,27580.5,596257.65
BTC-USDT,buy_31,33970.0,0.31,10530.7,551215.45
BTC-USDT,sell_31,34025.0,0.1,3402.5,599660.15
BTC-USDT,buy_32,33970.0,0.47,15965.9,567181.35
BTC-USDT,sell_32,34045.0,0.31,10553.95,610214.1
BTC-USDT,buy_33,33960.0,0.11,3735.6,570916.95
BTC-USDT,sell_33,34045.0,0.99,33704.55,643918.65
BTC-USDT,buy_34,33985.0,1.0,33985.0,604901.95
BTC-USDT,sell_34,34030.0,0.39,13271.7,657190.35
BTC-USDT,buy_35,33985.0,0.76,25828.6,630730.5499999999
BTC-USDT,sell_35,34010.0,0.13,4421.3,661611.65
BTC-USDT,buy_36,33990.0,0.65,22093.5,652824.0499999999
BTC-USDT,sell_36,34045.0,0.35,11915.75,673527.4
BTC-USDT,buy_37,33985.0,0.68,23109.800000000003,675933.85
BTC-USDT,sell_37,34035.0,0.5,17017.5,690544.9
BTC-USDT,buy_38,33970.0,0.43,14607.1,690540.95
BTC-USDT,sell_38,34020.0,0.92,31298.4,721843.3
BTC-USDT,buy_39,33965.0,0.13,4415.45,694956.3999999999
BTC-USDT,sell_39,34050.0,0.3,10215.0,732058.3
BTC-USDT,buy_40,33980.0,0.98,33300.4,728256.7999999999
BTC-USDT,sell_40,34015.0,0.71,24150.649999999998,756208.9500000001
BTC-USDT,buy_41,33950.0,0.17,5771.5,734028.2999999999
BTC-USDT,sell_41,34050.0,0.77,26218.5,782427.4500000001
BTC-USDT,buy_42,33970.0,0.85,28874.5,762902.7999999999
BTC-USDT,sell_42,34050.0,0.95,32347.5,814774.9500000001
BTC-USDT,buy_43,33950.0,0.55,18672.5,781575.2999999999
BTC-USDT,sell_43,34010.0,0.24,8162.4,822937.3500000001
BTC-USDT,buy_44,33960.0,0.97,32941.2,814516.4999999999
BTC-USDT,sell_44,34050.0,0.56,19068.0,842005.3500000001
BTC-USDT,buy_45,33955.0,0.23,7809.650000000001,822326.1499999999
BTC-USDT,sell_45,34045.0,0.33,11234.85,853240.2000000001
BTC-USDT,buy_46,33985.0,0.53,18012.05,840338.2
BTC-USDT,sell_46,34050.0,0.66,22473.0,875713.2000000001
BTC-USDT,buy_47,33975.0,0.93,31596.75,871934.95
BTC-USDT,sell_47,34030.0,0.26,8847.800000000001,884561.0000000001
BTC-USDT,buy_48,33970.0,0.53,18004.100000000002,889939.0499999999
BTC-USDT,sell_48,34020.0,0.27,9185.400000000001,893746.4000000001
BTC-USDT,buy_49,33970.0,0.3,10191.0,900130.0499999999
BTC-USDT,sell_49,34020.0,0.73,24834.6,918581.0000000001
BTC-USDT,buy_50,33965.0,0.84,28530.6,928660.6499999999
BTC-USDT,sell_50,34045.0,0.25,8511.25,927092.2500000001
BTC-USDT,buy_51,33990.0,0.43,14615.699999999999,943276.3499999999
BTC-USDT,sell_51,34015.0,0.2,6803.0,933895.2500000001
BTC-USDT,buy_52,33960.0,0.45,15282.0,958558.3499999999
BTC-USDT,sell_52,34050.0,0.42,14301.0,948196.2500000001
BTC-USDT,buy_53,33965.0,0.58,19699.699999999997,978258.0499999998
BTC-USDT,sell_53,34020.0,0.24,8164.799999999999,956361.0500000002
BTC-USDT,buy_54,33955.0,0.54,18335.7,996593.7499999998
BTC-USDT,sell_54,34045.0,0.88,29959.6,986320.6500000001
BTC-USDT,buy_55,33990.0,0.7,23793.0,1020386.7499999998
BTC-USDT,sell_55,34010.0,0.84,28568.399999999998,1014889.0500000002
BTC-USDT,buy_56,33970.0,0.68,23099.600000000002,1043486.3499999997
BTC-USDT,sell_56,34050.0,0.4,13620.0,1028509.0500000002
BTC-USDT,buy_57,33965.0,0.17,5774.05,1049260.3999999997
BTC-USDT,sell_57,34050.0,0.94,32007.0,1060516.0500000003
BTC-USDT,buy_58,33990.0,0.8,27192.0,1076452.3999999997
BTC-USDT,sell_58,34035.0,0.68,23143.800000000003,1083659.8500000003
BTC-USDT,buy_59,33975.0,0.95,32276.25,1108728.6499999997
BTC-USDT,sell_59,34015.0,0.59,20068.85,1103728.7000000004
BTC-USDT,buy_60,33965.0,0.54,18341.100000000002,1127069.7499999998
BTC-USDT,sell_60,34045.0,0.97,33023.65,1136752.3500000003
BTC-USDT,buy_61,33990.0,0.67,22773.300000000003,1149843.0499999998
BTC-USDT,sell_61,34025.0,0.79,26879.75,1163632.1000000003
BTC-USDT,buy_62,33950.0,0.53,17993.5,1167836.5499999998
BTC-USDT,sell_62,34030.0,0.9,30627.0,1194259.1000000003
BTC-USDT,buy_63,33975.0,0.27,9173.25,1177009.7999999998
BTC-USDT,sell_63,34025.0,0.9,30622.5,1224881.6000000003
BTC-USDT,buy_64,33960.0,0.42,14263.199999999999,1191272.9999999998
BTC-USDT,sell_64,34015.0,0.67,22790.050000000003,1247671.6500000004
BTC-USDT,buy_65,33960.0,0.87,29545.2,1220818.1999999997
BTC-USDT,sell_65,34050.0,0.6,20430.0,1268101.6500000004
BTC-USDT,buy_66,33950.0,0.87,29536.5,1250354.6999999997
BTC-USDT,sell_66,34040.0,0.16,5446.400000000001,1273548.0500000003
BTC-USDT,buy_67,33980.0,0.38,12912.4,1263267.0999999996
BTC-USDT,sell_67,34030.0,0.12,4083.6,1277631.6500000004
BTC-USDT,buy_68,33980.0,0.44,14951.2,1278218.2999999996
BTC-USDT,sell_68,34035.0,0.88,29950.8,1307582.4500000004
BTC-USDT,buy_69,33980.0,0.5,16990.0,1295208.2999999996
BTC-USDT,sell_69,34045.0,0.25,8511.25,1316093.7000000004
BTC-USDT,buy_70,33965.0,0.34,11548.1,1306756.3999999997
BTC-USDT,sell_70,34025.0,0.73,24838.25,1340931.9500000004
BTC-USDT,buy_71,33950.0,0.77,26141.5,1332897.8999999997
BTC-USDT,sell_71,34015.0,0.58,19728.699999999997,1360660.6500000004
BTC-USDT,buy_72,33960.0,0.54,18338.4,1351236.2999999996
BTC-USDT,sell_72,34035.0,0.52,17698.2,1378358.8500000003
BTC-USDT,buy_73,33955.0,0.5,16977.5,1368213.7999999996
BTC-USDT,sell_73,34025.0,0.64,21776.0,1400134.8500000003
BTC-USDT,buy_74,33970.0,0.21,7133.7,1375347.4999999995
BTC-USDT,sell_74,34020.0,0.84,28576.8,1428711.6500000004
BTC-USDT,buy_75,33965.0,0.11,3736.15,1379083.6499999994
BTC-USDT,sell_75,34030.0,0.12,4083.6,1432795.2500000005
BTC-USDT,buy_76,33985.0,0.69,23449.649999999998,1402533.2999999993
BTC-USDT,sell_76,34030.0,0.19,6465.7,1439260.9500000004
BTC-USDT,buy_77,33990.0,0.45,15295.5,1417828.7999999993
BTC-USDT,sell_77,34015.0,0.65,22109.75,1461370.7000000004
BTC-USDT,buy_78,33985.0,0.61,20730.85,1438559.6499999994
